FK_SECAO,LOJA,DATA_VENDA,ITENS,VALOR,SKUS_+,SKUS_-,VAR_PREÇO_+,VAR_PREÇO_-
522,Viseu,2020-01-05,33814,109862.21439241496,891,1581,0.13838491982591622,0.1275871252511443
522,Viseu,2020-01-09,22926,63819.58305887872,1655,1200,0.10668822517201816,0.1499412474641763
522,Viseu,2020-01-24,26055,72578.03103062364,894,1000,0.12994644155209747,0.12363514335352539
522,Viseu,2020-01-27,23556,60853.0986604508,1066,1121,0.18047729411634877,0.19849478032755793
522,Viseu,2020-01-30,21653,61461.64303757609,1296,1139,0.16268606926069384,0.18100185512765804
522,Viseu,2020-02-15,34480,99093.91750765893,1069,1211,0.11829461757923537,0.1166891785097736
522,Viseu,2020-02-21,27680,76718.53170874674,1295,1081,0.18568147047104616,0.12070286968870642
522,Viseu,2020-02-25,27236,75941.06904835503,335,2723,0.06466008217901674,0.37920710004139047
522,Viseu,2020-03-08,32767,95097.60301199013,1492,1428,0.10492108806006639,0.13311348878834278
522,Viseu,2020-03-15,21897,64054.06745566179,1691,1718,0.19645110662028956,0.16657109773660017
522,Viseu,2020-03-27,23129,59962.11310305538,922,1094,0.1283096624687556,0.13277747707147597
522,Viseu,2020-03-30,25067,63045.668382142125,1411,1448,0.14277769848166866,0.15879668866591357
522,Viseu,2020-04-06,27268,75536.30844658868,903,1125,0.16494779356606476,0.10480570227648081
522,Viseu,2020-04-08,27519,81458.81426273419,1374,1417,0.15359682018199555,0.10735126940684736
522,Viseu,2020-04-14,24089,83995.5553717209,535,4346,0.052070911062883925,0.3145303726965683
522,Viseu,2020-04-24,29537,90159.94401040373,1047,1454,0.10908064554046598,0.11768487432531882
522,Viseu,2020-05-12,22028,68156.86178502059,795,4009,0.04564199140555673,0.38786293479993783
522,Viseu,2020-05-17,24749,81692.09604515915,1629,1440,0.12920541819550713,0.10997933756799821
522,Viseu,2020-05-25,23715,66878.43292414359,1563,1331,0.17718643974585058,0.1864930918821057
522,Viseu,2020-06-08,24365,72498.37876295522,1418,1708,0.1452250832748517,0.13828705075525793
522,Viseu,2020-06-16,23888,69676.37504927063,548,4338,0.043365806323256796,0.48685496162050373
522,Viseu,2020-06-20,32717,98909.47499651439,1277,971,0.17834693102352664,0.1484493237504348
522,Viseu,2020-06-24,22969,68997.01087764594,929,1049,0.1383814793511251,0.11418249606602589
522,Viseu,2020-06-25,24411,72097.03632437238,1384,1493,0.19028370750155355,0.1486021367317894
522,Viseu,2020-06-26,26615,78497.3533849942,1312,1113,0.1719660296968983,0.11594934501509724
522,Viseu,2020-07-30,28486,89914.4387453572,1025,1723,0.14596155794217444,0.15530987607564856
522,Viseu,2020-08-04,29786,96232.83752079193,228,3115,0.04774131625826542,0.3085843537457211
522,Viseu,2020-08-15,33986,114767.91679989592,970,1358,0.13653699554327892,0.17902058635288534
522,Viseu,2020-08-19,25591,85443.6481350084,910,1702,0.16672850700252545,0.11542652365148195
522,Viseu,2020-08-23,27022,88182.85220474532,1680,1670,0.11670312074854347,0.19740239103111495
522,Viseu,2020-08-26,27174,82754.35976781939,1312,1686,0.18283149458919368,0.17524053134446216
522,Viseu,2020-08-30,32215,95904.26561011934,1091,1681,0.15822518187019266,0.10775666832815492
522,Viseu,2020-09-05,37074,111472.3634672491,1673,1121,0.1725125008054495,0.18769402937912244
522,Viseu,2020-09-10,25401,70035.35409836516,1756,1169,0.14840337155295721,0.10437306084849488
522,Viseu,2020-10-02,28745,88100.89383261764,1505,1098,0.16948916571659994,0.12445100026666515
522,Viseu,2020-11-20,35264,111444.85119367906,1709,928,0.10980873812827861,0.12481624885298788
522,Viseu,2020-11-24,23973,84805.38821783983,785,3490,0.06835556204081794,0.37015636440091576
522,Viseu,2020-11-28,32057,113072.26657276205,1331,1159,0.11148151968211673,0.141181553001088
522,Viseu,2020-11-29,25781,98209.41752764485,1414,1390,0.12984069660916503,0.10220476988088344
522,Viseu,2020-12-20,40816,180984.789685758,1416,1661,0.13532905382301924,0.11670429187930431
522,Viseu,2020-12-24,31005,139938.42186242802,1316,1126,0.10415301390331765,0.13899182496683155
