FK_LOJA,LOJA,DATA_INI,DATA_FIM,DESCRICAO,MES_EVENTO,ESTACAO_DO_ANO,VERAO,PRIMAVERA,OUTONO,INVERNO
POR009,Coimbra,2022-11-21,2022-11-21,IP Garrafeira,11,Outono,0,0,1,0
POR062,Eiras,2022-11-07,2022-11-07,Entrada Campanha,11,Outono,0,0,1,0
POR013,Torres Vedras,2023-05-15,2023-05-15,IP Perfumaria,5,Primavera,0,1,0,0
POR013,Torres Vedras,2023-05-22,2023-05-22,IP Pastelaria/Padaria,5,Primavera,0,1,0,0
POR013,Torres Vedras,2022-12-12,2022-12-12,Folheto,12,Inverno,0,0,0,1
POR013,Torres Vedras,2023-05-16,2023-05-16,Campanha Sazonais de Verão e Dia Mundial da Criança,5,Primavera,0,1,0,0
POR031,Famalicão,2022-10-21,2022-10-21,Campanha Natal,10,Outono,0,0,1,0
POR013,Torres Vedras,2022-12-27,2022-12-27,IP Lácteos,12,Inverno,0,0,0,1
POR029,Alverca,2023-05-15,2023-05-31,IP Perfumaria,5,Primavera,0,1,0,0
POR013,Torres Vedras,2022-12-27,2022-12-27,Montagem Campanha Têxtil Lar,12,Inverno,0,0,0,1
POR013,Torres Vedras,2023-05-08,2023-05-08,IP Interiores,5,Primavera,0,1,0,0
POR008,Gaia,2023-04-03,2023-04-05,Inventário,4,Primavera,0,1,0,0
POR029,Alverca,2023-05-14,2023-05-14,IP Artigos de Mesa Armazém,5,Primavera,0,1,0,0
POR029,Alverca,2023-05-08,2023-05-08,IP Interiores,5,Primavera,0,1,0,0
POR016,Matosinhos,2022-11-14,2022-11-14,Inventário Outdoor,11,Outono,0,0,1,0
POR029,Alverca,2023-03-08,2023-03-08,IP Interiores,3,Primavera,0,1,0,0
POR012,Almada Fórum,2023-01-01,2023-01-01,Janeiro 01.23,1,Inverno,0,0,0,1
POR009,Coimbra,2022-11-14,2022-11-14,IP Lácteos,11,Outono,0,0,1,0
POR013,Torres Vedras,2023-05-15,2023-05-15,IP Peixaria,5,Primavera,0,1,0,0
POR013,Torres Vedras,2023-05-22,2023-05-22,IP Artigos de Mesa,5,Primavera,0,1,0,0
POR016,Matosinhos,2022-11-15,2022-11-15,Inventário Cápsulas Café,11,Outono,0,0,1,0
POR029,Alverca,2023-05-14,2023-05-14,IP Perfumaria,5,Primavera,0,1,0,0
POR013,Torres Vedras,2022-12-27,2022-12-27,IP Perfumaria,12,Inverno,0,0,0,1
POR013,Torres Vedras,2022-12-26,2022-12-26,Montagem Campanha Têxtil Lar,12,Inverno,0,0,0,1
POR016,Matosinhos,2022-11-08,2022-11-08,Inventário Garrafeira,11,Outono,0,0,1,0
POR016,Matosinhos,2022-11-14,2022-11-14,Inventário Lácteos,11,Outono,0,0,1,0
POR029,Alverca,2023-05-16,2023-05-16,DMC BT,5,Primavera,0,1,0,0
POR013,Torres Vedras,2022-12-26,2022-12-26,IP Brinquedos,12,Inverno,0,0,0,1
POR029,Alverca,2023-05-07,2023-05-07,IP Interiores,5,Primavera,0,1,0,0
POR016,Matosinhos,2023-02-07,2023-02-07,Inventário Queijos,2,Inverno,0,0,0,1
POR065,Canidelo,2022-12-24,2022-12-24,Véspera de Natal,12,Inverno,0,0,0,1
POR062,Eiras,2022-11-09,2022-11-09,Inventário Lácteos,11,Outono,0,0,1,0
POR008,Gaia,2022-12-31,2022-12-31,Véspera de Ano Novo,12,Inverno,0,0,0,1
POR013,Torres Vedras,2022-12-29,2022-12-29,IP Drogaria,12,Inverno,0,0,0,1
POR008,Gaia,2022-12-24,2022-12-24,Véspera de Natal,12,Inverno,0,0,0,1
POR013,Torres Vedras,2023-05-16,2023-05-22,IP Peixaria,5,Primavera,0,1,0,0
POR013,Torres Vedras,2023-05-11,2023-05-11,IP Equip. Tec.,5,Primavera,0,1,0,0
POR029,Alverca,2023-05-14,2023-05-14,IP Artigos de Mesa,5,Primavera,0,1,0,0
POR013,Torres Vedras,2023-05-22,2023-05-22,IP Biológicos,5,Primavera,0,1,0,0
POR013,Torres Vedras,2023-05-15,2023-05-15,IP Frutas,5,Primavera,0,1,0,0
POR062,Eiras,2022-11-14,2022-11-14,Inventário Garrafeira,11,Outono,0,0,1,0
POR013,Torres Vedras,2023-05-22,2023-05-22,IP Gastronomia,5,Primavera,0,1,0,0
POR062,Eiras,2022-11-21,2022-11-21,Inventário Cápsulas Café,11,Outono,0,0,1,0
POR016,Matosinhos,2022-12-31,2022-12-31,Véspera de Natal,12,Inverno,0,0,0,1
POR029,Alverca,2023-05-15,2023-05-15,IP Artigos de Mesa,5,Primavera,0,1,0,0
POR029,Alverca,2023-05-07,2023-05-07,IP Interiores + Brico,5,Primavera,0,1,0,0
POR016,Matosinhos,2022-11-12,2022-11-12,Inventário ET,11,Outono,0,0,1,0
POR029,Alverca,2023-05-08,2023-05-08,IP Brico,5,Primavera,0,1,0,0
POR013,Torres Vedras,2022-12-26,2022-12-26,IP Pastelaria/Padaria,12,Inverno,0,0,0,1
POR013,Torres Vedras,2023-05-18,2023-05-18,IP Brico,5,Primavera,0,1,0,0
POR027,Setúbal,2023-04-12,2023-04-12,Inventário NSBE,4,Primavera,0,1,0,0
POR029,Alverca,2023-05-16,2023-05-16,DMC PGC,5,Primavera,0,1,0,0
POR013,Torres Vedras,2023-05-15,2023-05-15,Campanha Sazonais de Verão e Dia Mundial da Criança,5,Primavera,0,1,0,0
POR013,Torres Vedras,2022-12-15,2022-12-15,IP Decoração Natal,12,Inverno,0,0,0,1
