FK_LOJA,LOJA,DATA_FERIADO,DESCRICAO_FERIADO,FERIADO_FIXO,TIPO
POR012,Almada Fórum,2021-06-03,Corpo de Deus,N,ABERTO
POR417,S - Nuno Alvares Pereira,2021-06-03,Corpo de Deus,N,ABERTO
POR019,Coina,2021-06-03,Corpo de Deus,N,ABERTO
POR012,Almada Fórum,2021-06-10,Dia de Portugal,N,ABERTO
POR417,S - Nuno Alvares Pereira,2021-06-10,Dia de Portugal,N,ABERTO
POR019,Coina,2021-06-10,Dia de Portugal,N,ABERTO
POR012,Almada Fórum,2021-06-24,Municipal do Porto (24 Jun),N,ABERTO
POR417,S - Nuno Alvares Pereira,2021-06-24,Municipal do Porto (24 Jun),N,ABERTO
POR019,Coina,2021-06-28,Municipal Barreiro (28 Jun),N,ABERTO
POR012,Almada Fórum,2021-08-15,Assunção de Maria,N,ABERTO
POR417,S - Nuno Alvares Pereira,2021-08-15,Assunção de Maria,N,ABERTO
POR019,Coina,2021-08-15,Assunção de Maria,N,ABERTO
POR012,Almada Fórum,2021-10-05,Implantação da República,N,ABERTO
POR417,S - Nuno Alvares Pereira,2021-10-05,Implantação da República,N,ABERTO
POR019,Coina,2021-10-05,Implantação da República,N,ABERTO
POR021,Évora,2021-10-05,Implantação da República,N,ABERTO
POR012,Almada Fórum,2021-11-01,Todos os Santos,N,ABERTO
POR417,S - Nuno Alvares Pereira,2021-11-01,Todos os Santos,N,ABERTO
POR019,Coina,2021-11-01,Todos os Santos,N,ABERTO
POR021,Évora,2021-11-01,Todos os Santos,N,ABERTO
POR027,Setúbal,2021-11-01,Todos os Santos,N,ABERTO
POR434,S - Av. D. João II,2021-11-01,Todos os Santos,N,ABERTO
POR012,Almada Fórum,2021-12-01,Restauração da Independência,N,ABERTO
POR417,S - Nuno Alvares Pereira,2021-12-01,Restauração da Independência,N,ABERTO
POR019,Coina,2021-12-01,Restauração da Independência,N,ABERTO
POR021,Évora,2021-12-01,Restauração da Independência,N,ABERTO
POR027,Setúbal,2021-12-01,Restauração da Independência,N,ABERTO
POR434,S - Av. D. João II,2021-12-01,Restauração da Independência,N,ABERTO
POR012,Almada Fórum,2021-12-08,Imaculada Conceição,N,ABERTO
POR417,S - Nuno Alvares Pereira,2021-12-08,Imaculada Conceição,N,ABERTO
POR019,Coina,2021-12-08,Imaculada Conceição,N,ABERTO
POR021,Évora,2021-12-08,Imaculada Conceição,N,ABERTO
POR027,Setúbal,2021-12-08,Imaculada Conceição,N,ABERTO
POR434,S - Av. D. João II,2021-12-08,Imaculada Conceição,N,ABERTO
POR012,Almada Fórum,2021-12-25,Dia de natal,N,FECHADO
POR417,S - Nuno Alvares Pereira,2021-12-25,Dia de natal,N,FECHADO
POR019,Coina,2021-12-25,Dia de natal,N,FECHADO
POR032,Aveiro,2022-01-01,Dia de Ano Novo,N,ABERTO
POR009,Coimbra,2022-01-01,Dia de Ano Novo,N,FECHADO
POR065,Canidelo,2022-01-01,Dia de Ano Novo,N,FECHADO
POR008,Gaia,2022-01-01,Dia de Ano Novo,N,FECHADO
POR012,Almada Fórum,2022-01-01,Dia de Ano Novo,N,FECHADO
POR417,S - Nuno Alvares Pereira,2022-01-01,Dia de Ano Novo,N,FECHADO
POR019,Coina,2022-01-01,Dia de Ano Novo,N,FECHADO
POR028,Castelo Branco,2022-01-01,Dia de Ano Novo,N,FECHADO
POR054,Guarda,2022-01-01,Dia de Ano Novo,N,FECHADO
POR010,Viseu,2022-01-01,Dia de Ano Novo,N,FECHADO
POR017,Guimarães,2022-01-01,Dia de Ano Novo,N,FECHADO
POR030,Santo Tirso,2022-01-01,Dia de Ano Novo,N,FECHADO
POR016,Matosinhos,2022-01-01,Dia de Ano Novo,N,FECHADO
POR036,Vila Real,2022-01-01,Dia de Ano Novo,N,FECHADO
POR032,Aveiro,2022-03-01,Carnaval,N,ABERTO
POR009,Coimbra,2022-03-01,Carnaval,N,ABERTO
POR065,Canidelo,2022-03-01,Carnaval,N,ABERTO
POR008,Gaia,2022-03-01,Carnaval,N,ABERTO
POR035,Gondomar,2022-03-01,Carnaval,N,ABERTO
POR012,Almada Fórum,2022-03-01,Carnaval,N,ABERTO
POR417,S - Nuno Alvares Pereira,2022-03-01,Carnaval,N,ABERTO
POR019,Coina,2022-03-01,Carnaval,N,ABERTO
POR021,Évora,2022-03-01,Carnaval,N,ABERTO
POR027,Setúbal,2022-03-01,Carnaval,N,ABERTO
POR434,S - Av. D. João II,2022-03-01,Carnaval,N,ABERTO
POR423,S - Bento Gonçalves,2022-03-01,Carnaval,N,ABERTO
POR412,S - Gil Vicente,2022-03-01,Carnaval,N,ABERTO
POR425,S - R.Luis Queiroz,2022-03-01,Carnaval,N,ABERTO
POR405,S - Costa Caparica (Pescadores),2022-03-01,Carnaval,N,ABERTO
POR432,S - Costa Caparica (Navegantes),2022-03-01,Carnaval,N,ABERTO
POR028,Castelo Branco,2022-03-01,Carnaval,N,ABERTO
POR062,Eiras,2022-03-01,Carnaval,N,ABERTO
POR034,Figueira da Foz,2022-03-01,Carnaval,N,ABERTO
POR010,Viseu,2022-03-01,Carnaval,N,ABERTO
POR030,Santo Tirso,2022-03-01,Carnaval,N,ABERTO
POR026,Maia,2022-03-01,Carnaval,N,ABERTO
POR054,Guarda,2022-03-01,Carnaval,N,ABERTO
POR017,Guimarães,2022-03-01,Carnaval,N,ABERTO
POR016,Matosinhos,2022-03-01,Carnaval,N,ABERTO
POR036,Vila Real,2022-03-01,Carnaval,N,ABERTO
POR032,Aveiro,2022-04-15,Sexta-feira Santa,N,ABERTO
POR065,Canidelo,2022-04-15,Sexta-feira Santa,N,ABERTO
POR008,Gaia,2022-04-15,Sexta-feira Santa,N,ABERTO
POR035,Gondomar,2022-04-15,Sexta-feira Santa,N,ABERTO
POR012,Almada Fórum,2022-04-15,Sexta-feira Santa,N,ABERTO
POR417,S - Nuno Alvares Pereira,2022-04-15,Sexta-feira Santa,N,ABERTO
POR019,Coina,2022-04-15,Sexta-feira Santa,N,ABERTO
POR021,Évora,2022-04-15,Sexta-feira Santa,N,ABERTO
POR027,Setúbal,2022-04-15,Sexta-feira Santa,N,ABERTO
POR434,S - Av. D. João II,2022-04-15,Sexta-feira Santa,N,ABERTO
POR423,S - Bento Gonçalves,2022-04-15,Sexta-feira Santa,N,ABERTO
POR432,S - Costa Caparica (Navegantes),2022-04-15,Sexta-feira Santa,N,ABERTO
POR412,S - Gil Vicente,2022-04-15,Sexta-feira Santa,N,ABERTO
POR425,S - R.Luis Queiroz,2022-04-15,Sexta-feira Santa,N,ABERTO
POR405,S - Costa Caparica (Pescadores),2022-04-15,Sexta -Feira Santa,N,ABERTO
POR028,Castelo Branco,2022-04-15,Sexta-feira Santa,N,ABERTO
POR009,Coimbra,2022-04-15,Sexta-feira Santa,N,ABERTO
POR062,Eiras,2022-04-15,Sexta-feira Santa,N,ABERTO
POR031,Famalicão,2022-04-15,Sexta-feira Santa,N,ABERTO
POR034,Figueira da Foz,2022-04-15,Sexta-feira Santa,N,ABERTO
POR010,Viseu,2022-04-15,Sexta-feira Santa,N,ABERTO
POR030,Santo Tirso,2022-04-15,Sexta-feira Santa,N,ABERTO
POR036,Vila Real,2022-04-15,Sexta-feira Santa,N,ABERTO
POR054,Guarda,2022-04-15,Sexta-feira Santa,N,ABERTO
POR017,Guimarães,2022-04-15,Sexta-feira Santa,N,ABERTO
POR026,Maia,2022-04-15,Sexta-feira Santa,N,ABERTO
POR016,Matosinhos,2022-04-15,Sexta-feira Santa,N,ABERTO
POR039,Vila do Conde,2022-04-15,Sexta-feira Santa,N,ABERTO
POR034,Figueira da Foz,2022-04-17,Páscoa,N,ABERTO
POR008,Gaia,2022-04-17,Páscoa,N,ABERTO
POR035,Gondomar,2022-04-17,Páscoa,N,ABERTO
POR012,Almada Fórum,2022-04-17,Páscoa,N,ABERTO
POR417,S - Nuno Alvares Pereira,2022-04-17,Páscoa,N,ABERTO
POR019,Coina,2022-04-17,Páscoa,N,ABERTO
POR021,Évora,2022-04-17,Páscoa,N,ABERTO
POR027,Setúbal,2022-04-17,Páscoa,N,ABERTO
POR434,S - Av. D. João II,2022-04-17,Páscoa,N,ABERTO
POR432,S - Costa Caparica (Navegantes),2022-04-17,Páscoa,N,ABERTO
POR423,S - Bento Gonçalves,2022-04-17,Páscoa,N,ABERTO
POR412,S - Gil Vicente,2022-04-17,Páscoa,N,ABERTO
POR425,S - R.Luis Queiroz,2022-04-17,Páscoa,N,ABERTO
POR405,S - Costa Caparica (Pescadores),2022-04-17,Páscoa,N,ABERTO
POR028,Castelo Branco,2022-04-17,Páscoa,N,ABERTO
POR062,Eiras,2022-04-17,Páscoa,N,ABERTO
POR031,Famalicão,2022-04-17,Páscoa,N,ABERTO
POR010,Viseu,2022-04-17,Páscoa,N,ABERTO
POR030,Santo Tirso,2022-04-17,Páscoa,N,ABERTO
POR036,Vila Real,2022-04-17,Páscoa,N,ABERTO
POR054,Guarda,2022-04-17,Páscoa,N,ABERTO
POR017,Guimarães,2022-04-17,Páscoa,N,ABERTO
POR026,Maia,2022-04-17,Páscoa,N,ABERTO
POR016,Matosinhos,2022-04-17,Páscoa,N,ABERTO
POR039,Vila do Conde,2022-04-17,Páscoa,N,ABERTO
POR032,Aveiro,2022-04-17,Páscoa,N,ABERTO
POR065,Canidelo,2022-04-17,Páscoa,N,ABERTO
POR032,Aveiro,2022-04-25,Dia da Liberdade,N,ABERTO
POR009,Coimbra,2022-04-25,Dia da Liberdade,N,ABERTO
POR065,Canidelo,2022-04-25,Dia da Liberdade,N,ABERTO
POR008,Gaia,2022-04-25,Dia da Liberdade,N,ABERTO
POR008,Gaia,2022-04-25,Dia da Liberdade,N,ABERTO
POR035,Gondomar,2022-04-25,Dia da Liberdade,N,ABERTO
POR012,Almada Fórum,2022-04-25,Dia da Liberdade,N,ABERTO
POR417,S - Nuno Alvares Pereira,2022-04-25,Dia da Liberdade,N,ABERTO
POR019,Coina,2022-04-25,Dia da Liberdade,N,ABERTO
POR021,Évora,2022-04-25,Dia da Liberdade,N,ABERTO
POR027,Setúbal,2022-04-25,Dia da Liberdade,N,ABERTO
POR434,S - Av. D. João II,2022-04-25,Dia da Liberdade,N,ABERTO
POR423,S - Bento Gonçalves,2022-04-25,Dia da Liberdade,N,ABERTO
POR432,S - Costa Caparica (Navegantes),2022-04-25,Dia da Liberdade,N,ABERTO
POR412,S - Gil Vicente,2022-04-25,Dia da Liberdade,N,ABERTO
POR425,S - R.Luis Queiroz,2022-04-25,Dia da Liberdade,N,ABERTO
POR405,S - Costa Caparica (Pescadores),2022-04-25,Dia da Liberdade,N,ABERTO
POR028,Castelo Branco,2022-04-25,Dia da Liberdade,N,ABERTO
POR062,Eiras,2022-04-25,Dia da Liberdade,N,ABERTO
POR010,Viseu,2022-04-25,Dia da Liberdade,N,ABERTO
POR030,Santo Tirso,2022-04-25,Dia da Liberdade,N,ABERTO
POR036,Vila Real,2022-04-25,Dia da Liberdade,N,ABERTO
POR054,Guarda,2022-04-25,Dia da Liberdade,N,ABERTO
POR017,Guimarães,2022-04-25,Dia da Liberdade,N,ABERTO
POR016,Matosinhos,2022-04-25,Dia da Liberdade,N,ABERTO
POR008,Gaia,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR012,Almada Fórum,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR417,S - Nuno Alvares Pereira,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR019,Coina,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR021,Évora,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR027,Setúbal,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR434,S - Av. D. João II,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR423,S - Bento Gonçalves,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR432,S - Costa Caparica (Navegantes),2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR412,S - Gil Vicente,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR425,S - R.Luis Queiroz,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR405,S - Costa Caparica (Pescadores),2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR028,Castelo Branco,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR062,Eiras,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR054,Guarda,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
POR036,Vila Real,2022-05-01,1º MAIO - FERIADO ABERTO,N,ABERTO
