TARGET_VENDAS_DIARIAS_EUR,DATA,PRODUTIVIDADE/HORA,N_COLABORADORES,SELF_CHECKOUTS,LAG_1_VENDAS,LAG_7_VENDAS,LAG_14_VENDAS,ROLL_AVG_1_VENDAS,ROLL_AVG_7_VENDAS,ROLL_AVG_14_VENDAS,CAIXAS_TRADICIONAIS,SKUS_+,IS_EVENT,EVENTO_FIM_SEMANA,IS_REG_LIS_NOR,LOJA
76101.93425523453,2020-01-16,210,56,5,82991.85755908932,76570.85041750238,108549.5137300014,82991.85755908932,93531.2661270126,96855.54270435851,14,6270,0,0,0,Gaia
83781.48843878586,2020-01-17,210,56,5,76101.93425523453,90704.97606635254,106382.8104086131,76101.93425523453,93464.27810383147,94537.85845616089,14,6937,0,0,0,Gaia
144868.01549042738,2020-01-18,210,56,5,83781.48843878586,144945.8881594559,146477.29207684757,83781.48843878586,92475.20844275052,92923.47831545895,14,6913,0,0,0,Gaia
95802.36560705616,2020-01-19,210,56,5,144868.01549042738,105570.18987699889,98853.91623874682,144868.01549042738,92464.08377574645,92808.52998785752,14,5492,0,0,0,Gaia
81769.48106689591,2020-01-20,210,56,5,95802.36560705616,78065.35202365351,86326.89406904149,95802.36560705616,91068.68030861179,92590.5620855939,14,5723,0,0,0,Gaia
82078.02118700015,2020-01-21,210,56,5,81769.48106689591,75869.74878603563,75799.10922473298,81769.48106689591,91597.84160050354,92265.03258544064,14,1680,0,0,0,Gaia
75852.4381319513,2020-01-22,210,56,5,82078.02118700015,82991.85755908932,78869.19922394787,82078.02118700015,92484.73765778418,92713.52629703116,14,6951,0,0,0,Gaia
77637.4553547801,2020-01-23,210,56,5,75852.4381319513,76101.93425523453,76570.85041750238,75852.4381319513,91464.82059676446,92498.04336188853,14,4794,0,0,0,Gaia
92294.28750340722,2020-01-24,210,56,5,77637.4553547801,83781.48843878586,90704.97606635254,77637.4553547801,91684.18075384242,92574.22942883696,14,3911,0,0,0,Gaia
140848.29949828913,2020-01-25,210,56,5,92294.28750340722,144868.01549042738,144945.8881594559,92294.28750340722,92900.29490593118,92687.75167434083,14,4028,0,0,0,Gaia
101917.19608232952,2020-01-26,210,56,5,140848.29949828913,95802.36560705616,105570.18987699889,140848.29949828913,92326.04976419713,92395.06676997179,14,7237,0,0,0,Gaia
76893.44674361439,2020-01-27,210,56,5,101917.19608232952,81769.48106689591,78065.35202365351,101917.19608232952,93199.59697495047,92134.13864178113,14,5547,0,0,0,Gaia
76105.47764896818,2020-01-28,210,56,5,76893.44674361439,82078.02118700015,75869.74878603563,76893.44674361439,92503.02064305311,92050.43112177834,14,457,0,0,0,Gaia
77495.69886863997,2020-01-29,210,56,5,76105.47764896818,75852.4381319513,82991.85755908932,76105.47764896818,91649.80013761998,92067.26889770207,14,5788,0,0,0,Gaia
78116.17398063479,2020-01-30,210,56,5,77495.69886863997,77637.4553547801,76101.93425523453,77495.69886863997,91884.55167143265,91674.68613409856,14,3879,0,0,0,Gaia
103136.79621831395,2020-01-31,210,56,5,78116.17398063479,92294.28750340722,83781.48843878586,78116.17398063479,91952.94004655474,91818.56040019858,14,5305,0,0,0,Gaia
166032.9072351714,2020-02-01,210,56,5,103136.79621831395,140848.29949828913,144868.01549042738,103136.79621831395,93501.86986296998,93201.0823844506,14,6906,0,0,0,Gaia
106817.3601685538,2020-02-02,210,56,5,166032.9072351714,101917.19608232952,95802.36560705616,166032.9072351714,97099.67096823889,94712.86036621802,14,3951,0,0,0,Gaia
78015.55457035611,2020-02-03,210,56,5,106817.3601685538,76893.44674361439,81769.48106689591,106817.3601685538,97799.69440912806,95499.64569203928,14,5164,0,0,0,Gaia
73097.11205477314,2020-02-04,210,56,5,78015.55457035611,76105.47764896818,82078.02118700015,78015.55457035611,97959.99552723403,95231.50808514359,14,433,0,0,0,Gaia
72733.31708687499,2020-02-05,210,56,5,73097.11205477314,77495.69886863997,75852.4381319513,73097.11205477314,97530.2290137776,94590.01457569879,14,5266,0,0,0,Gaia
73788.38429632083,2020-02-06,210,56,5,72733.31708687499,78116.17398063479,77637.4553547801,72733.31708687499,96849.88875923974,94367.2202153362,14,7504,0,0,0,Gaia
90275.0726141421,2020-02-07,210,56,5,73788.38429632083,103136.79621831395,92294.28750340722,73788.38429632083,96231.63309005203,94092.28656830337,14,6462,0,0,0,Gaia
135281.95921524178,2020-02-08,210,56,5,90275.0726141421,166032.9072351714,140848.29949828913,90275.0726141421,94394.24400374175,93948.05693335588,14,6581,0,0,0,Gaia
104793.84102310296,2020-02-09,210,56,5,135281.95921524178,106817.3601685538,101917.19608232952,135281.95921524178,90001.2514294661,93550.4611988525,14,5732,0,0,0,Gaia
80105.85210913033,2020-02-10,210,56,5,104793.84102310296,78015.55457035611,76893.44674361439,104793.84102310296,89712.17726583027,93755.93583747916,14,6754,0,0,0,Gaia
70896.43732777741,2020-02-11,210,56,5,80105.85210913033,73097.11205477314,76105.47764896818,80105.85210913033,90010.79119994087,93985.39336358744,14,3715,0,0,0,Gaia
74259.41706843587,2020-02-12,210,56,5,70896.43732777741,72733.31708687499,77495.69886863997,70896.43732777741,89696.40909608433,93613.31905493097,14,6373,0,0,0,Gaia
75649.43162658728,2020-02-13,210,56,5,74259.41706843587,73788.38429632083,78116.17398063479,74259.41706843587,89914.42337916445,93382.1560692021,14,4098,0,0,0,Gaia
89934.31723112216,2020-02-14,210,56,5,75649.43162658728,90275.0726141421,103136.79621831395,75649.43162658728,90180.28728348823,93205.96018677014,14,5793,0,0,0,Gaia
129194.60243647872,2020-02-15,210,56,5,89934.31723112216,135281.95921524178,166032.9072351714,89934.31723112216,90131.60794305682,92262.9259733993,14,3965,0,0,0,Gaia
98502.0040907501,2020-02-16,210,56,5,129194.60243647872,104793.84102310296,106817.3601685538,129194.60243647872,89261.98554609067,89631.61848777838,14,4218,0,0,0,Gaia
74601.93750705488,2020-02-17,210,56,5,98502.0040907501,80105.85210913033,78015.55457035611,98502.0040907501,88363.15169861169,89037.66448222098,14,5973,0,0,0,Gaia
69448.29640021462,2020-02-18,210,56,5,74601.93750705488,70896.43732777741,73097.11205477314,74601.93750705488,87576.87818402948,88793.83469198518,14,1717,0,0,0,Gaia
72453.23191737919,2020-02-19,210,56,5,69448.29640021462,74259.41706843587,72733.31708687499,69448.29640021462,87370.00090866338,88533.20500237386,14,4046,0,0,0,Gaia
78482.1846564925,2020-02-20,210,56,5,72453.23191737919,75649.43162658728,73788.38429632083,72453.23191737919,87111.97445851243,88513.19891883843,14,4861,0,0,0,Gaia
102634.93577156782,2020-02-21,210,56,5,78482.1846564925,89934.31723112216,90275.0726141421,78482.1846564925,87516.65346278461,88848.47037313641,14,7546,0,0,0,Gaia
141826.68919025265,2020-02-22,210,56,5,102634.93577156782,129194.60243647872,135281.95921524178,102634.93577156782,89331.02753999112,89731.31774152396,14,5747,0,0,0,Gaia
86265.04426829731,2020-02-23,210,56,5,141826.68919025265,98502.0040907501,104793.84102310296,141826.68919025265,91135.61136195881,90198.79845402476,14,5125,0,0,0,Gaia
97476.20828158372,2020-02-24,210,56,5,86265.04426829731,74601.93750705488,80105.85210913033,86265.04426829731,89387.47424446556,88875.31297153863,14,6844,0,0,0,Gaia
97132.55332659422,2020-02-25,210,56,5,97476.20828158372,69448.29640021462,70896.43732777741,97476.20828158372,92655.22721225538,90116.05269814245,14,1261,0,0,0,Gaia
80395.66990333408,2020-02-26,210,56,5,97132.55332659422,72453.23191737919,74259.41706843587,97132.55332659422,96610.12105888105,91990.06098377223,14,5747,0,0,0,Gaia
73141.74227643127,2020-02-27,210,56,5,80395.66990333408,78482.1846564925,75649.43162658728,80395.66990333408,97744.75505687462,92428.36475769352,14,6780,0,0,0,Gaia
96341.88266594848,2020-02-28,210,56,5,73141.74227643127,102634.93577156782,89934.31723112216,73141.74227643127,96981.83471686588,92249.24408982524,14,4842,0,0,0,Gaia
157308.3291457787,2020-02-29,210,56,5,96341.88266594848,141826.68919025265,129194.60243647872,96341.88266594848,96082.82713034881,92706.92733516997,14,6252,0,0,0,Gaia
117371.03899101818,2020-03-01,210,56,5,157308.3291457787,86265.04426829731,98502.0040907501,157308.3291457787,98294.48998113825,94715.05067154854,14,6206,0,0,0,Gaia
87970.1290800188,2020-03-02,210,56,5,117371.03899101818,97476.20828158372,74601.93750705488,117371.03899101818,102738.20351295553,96062.83887871054,14,5459,0,0,0,Gaia
81698.3002760506,2020-03-03,210,56,5,87970.1290800188,97132.55332659422,69448.29640021462,87970.1290800188,101380.19219844625,97017.70970535082,14,493,0,0,0,Gaia
80506.61292713201,2020-03-04,210,56,5,81698.3002760506,80395.66990333408,72453.23191737919,81698.3002760506,99175.29890551146,97892.70998219625,14,5271,0,0,0,Gaia
77169.10182972021,2020-03-05,210,56,5,80506.61292713201,73141.74227643127,78482.1846564925,80506.61292713201,99191.14790891115,98467.95148289288,14,6087,0,0,0,Gaia
89999.72488014882,2020-03-06,210,56,5,77169.10182972021,96341.88266594848,102634.93577156782,77169.10182972021,99766.48498795243,98374.15985240914,14,5695,0,0,0,Gaia
122863.10130764681,2020-03-07,210,56,5,89999.72488014882,157308.3291457787,141826.68919025265,89999.72488014882,98860.46244712391,97471.64478873638,14,4186,0,0,0,Gaia
99584.09045931153,2020-03-08,210,56,5,122863.10130764681,117371.03899101818,86265.04426829731,122863.10130764681,93939.71561310507,96117.10279712165,14,6964,0,0,0,Gaia
93114.90506196607,2020-03-09,210,56,5,99584.09045931153,87970.1290800188,97476.20828158372,99584.09045931153,91398.72296571839,97068.46323933697,14,6631,0,0,0,Gaia
96334.08139251547,2020-03-10,210,56,5,93114.90506196607,81698.3002760506,97132.55332659422,93114.90506196607,92133.69096313942,96756.94158079285,14,3571,0,0,0,Gaia
147666.34234568838,2020-03-11,210,56,5,96334.08139251547,80506.61292713201,80395.66990333408,96334.08139251547,94224.51683692013,96699.9078712158,14,4956,0,0,0,Gaia
142261.16599158393,2020-03-12,210,56,5,147666.34234568838,77169.10182972021,73141.74227643127,147666.34234568838,103818.76389671388,101504.95590281254,14,5190,0,0,0,Gaia
154210.5533043175,2020-03-13,210,56,5,142261.16599158393,89999.72488014882,96341.88266594848,142261.16599158393,113117.63020555156,106442.05759675198,14,4343,0,0,0,Gaia
124845.65376352271,2020-03-14,210,56,5,154210.5533043175,122863.10130764681,157308.3291457787,154210.5533043175,122290.60569471853,110575.5340709212,14,4047,0,0,0,Gaia
70889.31523570779,2020-03-15,210,56,5,124845.65376352271,99584.09045931153,117371.03899101818,124845.65376352271,122573.82747412937,108256.7715436172,14,4718,0,0,0,Gaia
100405.05985732871,2020-03-16,210,56,5,70889.31523570779,93114.90506196607,87970.1290800188,70889.31523570779,118474.5738707574,104936.64841823789,14,4839,0,0,0,Gaia
106943.01282885534,2020-03-17,210,56,5,100405.05985732871,96334.08139251547,81698.3002760506,100405.05985732871,119516.02455580923,105824.8577594743,14,3404,0,0,0,Gaia
133027.07128618503,2020-03-18,210,56,5,106943.01282885534,147666.34234568838,80506.61292713201,106943.01282885534,121031.58618957207,107628.05151324607,14,5142,0,0,0,Gaia
71472.71047427737,2020-03-19,210,56,5,133027.07128618503,142261.16599158393,77169.10182972021,133027.07128618503,118940.26175250016,111379.51282460701,14,7133,0,0,0,Gaia
66304.42545008221,2020-03-20,210,56,5,71472.71047427737,154210.5533043175,89999.72488014882,71472.71047427737,108827.62525002778,110972.62772778967,14,7091,0,0,0,Gaia
99391.96111596085,2020-03-21,210,56,5,66304.42545008221,124845.65376352271,122863.10130764681,66304.42545008221,96269.60698513701,109280.10633992776,14,4476,0,0,0,Gaia
50980.64424128064,2020-03-22,210,56,5,99391.96111596085,70889.31523570779,99584.09045931153,99391.96111596085,92633.36517834247,107603.59632623591,14,5798,0,0,0,Gaia
65828.9520900284,2020-03-23,210,56,5,50980.64424128064,100405.05985732871,93114.90506196607,50980.64424128064,89789.26932199574,104131.92159637657,14,6292,0,0,0,Gaia
76405.08786055213,2020-03-24,210,56,5,65828.9520900284,106943.01282885534,96334.08139251547,65828.9520900284,84849.82535523856,102182.92495552388,14,3218,0,0,0,Gaia
66129.29018178816,2020-03-25,210,56,5,76405.08786055213,133027.07128618503,147666.34234568838,76405.08786055213,80487.26464548094,100759.4254175265,14,5945,0,0,0,Gaia
80876.57044824661,2020-03-26,210,56,5,66129.29018178816,71472.71047427737,142261.16599158393,66129.29018178816,70930.43877342425,94935.3502629622,14,4634,0,0,0,Gaia
97453.72392965734,2020-03-27,210,56,5,80876.57044824661,66304.42545008221,154210.5533043175,80876.57044824661,72273.84734113414,90550.73629558095,14,5505,0,0,0,Gaia
107621.89341320378,2020-03-28,210,56,5,97453.72392965734,99391.96111596085,124845.65376352271,97453.72392965734,76723.74712393059,86496.67705453381,14,5558,0,0,0,Gaia
55416.870157823774,2020-03-29,210,56,5,107621.89341320378,50980.64424128064,70889.31523570779,107621.89341320378,77899.45173782243,85266.40845808246,14,7198,0,0,0,Gaia
84374.62384612962,2020-03-30,210,56,5,55416.870157823774,65828.9520900284,100405.05985732871,55416.870157823774,78533.19829732859,84161.23380966217,14,6894,0,0,0,Gaia
98415.75906963981,2020-03-31,210,56,5,84374.62384612962,76405.08786055213,106943.01282885534,84374.62384612962,81182.57997677162,83016.20266600509,14,1048,0,0,0,Gaia
108147.53406632745,2020-04-01,210,56,5,98415.75906963981,66129.29018178816,133027.07128618503,98415.75906963981,84326.96157806987,82407.1131117754,14,4691,0,0,0,Gaia
103065.44283078884,2020-04-02,210,56,5,108147.53406632745,80876.57044824661,71472.71047427737,108147.53406632745,90329.56784728977,80630.00331035702,14,3889,0,0,0,Gaia
120268.84513299848,2020-04-03,210,56,5,103065.44283078884,97453.72392965734,66304.42545008221,103065.44283078884,93499.40675908154,82886.62705010784,14,4907,0,0,0,Gaia
129526.59666912856,2020-04-04,210,56,5,120268.84513299848,107621.89341320378,99391.96111596085,120268.84513299848,96758.70978813026,86741.22845603041,14,6662,0,0,0,Gaia
65297.76699021029,2020-04-05,210,56,5,129526.59666912856,55416.870157823774,50980.64424128064,129526.59666912856,99887.95311040521,88893.70242411384,14,3990,0,0,0,Gaia
102820.20628272649,2020-04-06,210,56,5,65297.76699021029,84374.62384612962,65828.9520900284,65297.76699021029,101299.50980074613,89916.3540490374,14,5353,0,0,0,Gaia
121647.6949557756,2020-04-07,210,56,5,102820.20628272649,98415.75906963981,76405.08786055213,102820.20628272649,103934.59300597428,92558.58649137297,14,1293,0,0,0,Gaia
132408.95192119593,2020-04-08,210,56,5,121647.6949557756,108147.53406632745,66129.29018178816,121647.6949557756,107253.44098970796,95790.20128388892,14,4392,0,0,0,Gaia
120990.1129545425,2020-04-09,210,56,5,132408.95192119593,103065.44283078884,80876.57044824661,132408.95192119593,110719.35782611775,100524.46283670375,14,5882,0,0,0,Gaia
94435.1994866369,2020-04-10,210,56,5,120990.1129545425,120268.84513299848,97453.72392965734,120990.1129545425,113280.02498665398,103389.71587286775,14,5385,0,0,0,Gaia
86363.6278633055,2020-04-11,210,56,5,94435.1994866369,129526.59666912856,107621.89341320378,94435.1994866369,109589.5041800309,103174.10698408059,14,6289,0,0,0,Gaia
11861.45571962848,2020-04-12,210,56,5,86363.6278633055,65297.76699021029,55416.870157823774,86363.6278633055,103423.36577919904,101655.65944480214,14,6545,0,0,0,Gaia
58882.71734738831,2020-04-13,210,56,5,11861.45571962848,102820.20628272649,84374.62384612962,11861.45571962848,95789.60702625879,98544.55841350245,14,6887,0,0,0,Gaia
84882.89567569194,2020-04-14,210,56,5,58882.71734738831,121647.6949557756,98415.75906963981,58882.71734738831,89512.82289263901,96723.70794930667,14,2947,0,0,0,Gaia
97011.67070635947,2020-04-15,210,56,5,84882.89567569194,132408.95192119593,108147.53406632745,84882.89567569194,84260.70870976996,95757.07484973897,14,3899,0,0,0,Gaia
95290.66677378686,2020-04-16,210,56,5,97011.67070635947,120990.1129545425,103065.44283078884,97011.67070635947,79203.9542505076,94961.65603831266,14,4697,0,0,0,Gaia
106407.89996279514,2020-04-17,210,56,5,95290.66677378686,94435.1994866369,120268.84513299848,95290.66677378686,75532.60479611393,94406.31489138395,14,5282,0,0,0,Gaia
115169.70642129681,2020-04-18,210,56,5,106407.89996279514,86363.6278633055,129526.59666912856,106407.89996279514,77242.99057842225,93416.24737922657,14,4006,0,0,0,Gaia
