FK_LOJA,DATA,DESCRICAO,FERIADO_FIXO,LOJA_ABERTA,ESTACAO_DO_ANO,FLAG_NATAL,FLAG_PASCOA,FLAG_ANO_NOVO,FLAG_DIA_TRABALHADOR
POR012,2021-08-15,Assunção de Maria,false,true,Verão,false,false,false,false
POR012,2021-10-05,Implantação da República,false,true,Outono,false,false,false,false
POR021,2021-11-01,Todos os Santos,false,true,Outono,false,false,false,false
POR434,2021-12-08,Imaculada Conceição,false,true,Inverno,false,false,false,false
POR008,2022-01-01,Dia de Ano Novo,false,false,Inverno,false,false,true,false
POR417,2022-01-01,Dia de Ano Novo,false,false,Inverno,false,false,true,false
POR019,2022-01-01,Dia de Ano Novo,false,false,Inverno,false,false,true,false
POR012,2022-03-01,Carnaval,false,true,Primavera,false,false,false,false
POR417,2022-03-01,Carnaval,false,true,Primavera,false,false,false,false
POR027,2022-03-01,Carnaval,false,true,Primavera,false,false,false,false
POR405,2022-03-01,Carnaval,false,true,Primavera,false,false,false,false
POR008,2022-04-15,Sexta-feira Santa,false,true,Primavera,false,false,false,false
POR035,2022-04-15,Sexta-feira Santa,false,true,Primavera,false,false,false,false
POR019,2022-04-15,Sexta-feira Santa,false,true,Primavera,false,false,false,false
POR423,2022-04-17,Páscoa,false,true,Primavera,false,true,false,false
POR028,2022-04-17,Páscoa,false,true,Primavera,false,true,false,false
POR010,2022-04-17,Páscoa,false,true,Primavera,false,true,false,false
POR036,2022-04-25,Dia da Liberdade,false,true,Primavera,false,false,false,false
POR012,2022-05-01,1º MAIO - FERIADO ABERTO,false,true,Primavera,false,false,false,false
POR021,2022-06-10,Dia de Portugal,false,true,Verão,false,false,false,false
POR404,2022-06-13,Feriado Municipal de Lisboa,true,true,Verão,false,false,false,false
POR403,2022-06-13,Feriado Municipal de Lisboa,true,true,Verão,false,false,false,false
POR016,2022-06-24,Municipal do Porto (24 Jun),false,true,Verão,false,false,false,false
POR030,2022-06-24,Municipal do Porto (24 Jun),false,true,Verão,false,false,false,false
POR035,2022-06-24,Municipal do Porto (24 Jun),false,true,Verão,false,false,false,false
POR019,2022-06-28,Municipal Barreiro (28 Jun),false,true,Verão,false,false,false,false
POR062,2022-10-05,Implantação da República,false,true,Outono,false,false,false,false
POR021,2022-10-05,Implantação da República,false,true,Outono,false,false,false,false
POR032,2022-11-01,Todos os Santos,false,true,Outono,false,false,false,false
POR034,2022-11-01,Todos os Santos,false,true,Outono,false,false,false,false
POR405,2022-11-01,Todos os Santos,false,true,Outono,false,false,false,false
POR035,2022-11-01,Todos os Santos,false,true,Outono,false,false,false,false
POR026,2022-11-01,Todos os Santos,false,true,Outono,false,false,false,false
POR030,2022-12-01,Restauração da Independência,false,true,Inverno,false,false,false,false
POR010,2022-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
POR021,2022-12-08,Imaculada Conceição,false,true,Inverno,false,false,false,false
POR405,2022-12-08,Imaculada Conceição,false,true,Inverno,false,false,false,false
POR034,2022-12-08,Imaculada Conceição,false,true,Inverno,false,false,false,false
POR032,2022-12-25,Dia de natal,false,true,Inverno,true,false,false,false
POR034,2023-01-01,Dia de Ano Novo,false,false,Inverno,false,false,true,false
POR063,2023-02-21,Carnaval,false,true,Inverno,false,false,false,false
POR053,2023-02-21,Carnaval,false,true,Inverno,false,false,false,false
POR411,2023-02-21,Carnaval,false,true,Inverno,false,false,false,false
POR404,2023-02-21,Carnaval,false,true,Inverno,false,false,false,false
POR433,2023-02-21,Carnaval,false,true,Inverno,false,false,false,false
POR438,2023-02-21,Carnaval,false,true,Inverno,false,false,false,false
POR063,2023-04-07,Sexta-Feira Santa,false,true,Primavera,false,false,false,false
POR038,2023-04-07,Sexta-Feira Santa,false,true,Primavera,false,false,false,false
POR409,2023-04-07,Sexta-Feira Santa,false,true,Primavera,false,false,false,false
POR414,2023-04-07,Sexta-Feira Santa,false,true,Primavera,false,false,false,false
POR403,2023-04-07,Sexta-Feira Santa,false,true,Primavera,false,false,false,false
POR410,2023-04-07,Sexta-Feira Santa,false,true,Primavera,false,false,false,false
POR412,2023-04-09,Páscoa,false,true,Primavera,false,true,false,false
POR035,2023-04-09,Páscoa,false,true,Primavera,false,true,false,false
POR416,2023-04-25,Dia da Liberdade,true,true,Primavera,false,false,false,false
POR063,2023-04-25,Dia da Liberdade,true,true,Primavera,false,false,false,false
POR429,2023-04-25,Dia da Liberdade,true,true,Primavera,false,false,false,false
POR423,2023-04-25,Dia da Liberdade,true,true,Primavera,false,false,false,false
POR034,2023-04-25,Dia da Liberdade,true,true,Primavera,false,false,false,false
POR407,2023-04-25,Dia da Liberdade,true,true,Primavera,false,false,false,false
POR063,2023-05-01,Dia do Trabalhador,true,true,Primavera,false,false,false,true
POR032,2023-05-01,Dia do Trabalhador,true,true,Primavera,false,false,false,true
POR030,2023-05-01,Dia do Trabalhador,true,true,Primavera,false,false,false,true
POR058,2023-06-08,Corpo de Deus,true,true,Verão,false,false,false,false
POR421,2023-06-08,Corpo de Deus,true,true,Verão,false,false,false,false
POR417,2023-06-08,Corpo de Deus,true,true,Verão,false,false,false,false
POR410,2023-06-08,Corpo de Deus,true,true,Verão,false,false,false,false
POR405,2023-06-10,Dia de Portugal,true,true,Verão,false,false,false,false
POR054,2023-06-10,Dia de Portugal,true,true,Verão,false,false,false,false
POR034,2023-06-10,Dia de Portugal,true,true,Verão,false,false,false,false
POR035,2023-06-10,Dia de Portugal,true,true,Verão,false,false,false,false
POR008,2023-06-10,Dia de Portugal,true,true,Verão,false,false,false,false
POR031,2023-06-13,Feriado Municipal de Famalicão,true,true,Verão,false,false,false,false
POR009,2023-07-04,Feriado Municipal de Coimbra,true,true,Verão,false,false,false,false
POR052,2023-08-15,Assunção de Maria,true,true,Verão,false,false,false,false
POR057,2023-08-15,Assunção de Maria,true,true,Verão,false,false,false,false
POR062,2023-08-15,Assunção de Maria,true,true,Verão,false,false,false,false
POR430,2023-09-11,Feriado Municipal da Amadora,true,true,Outono,false,false,false,false
POR035,2023-10-02,Feriado Municipal de Gondomar,false,true,Outono,false,false,false,false
POR427,2023-10-05,Implantação da República,true,true,Outono,false,false,false,false
POR023,2023-10-05,Implantação da República,true,true,Outono,false,false,false,false
POR036,2023-11-01,Dia de Todos os Santos,true,true,Outono,false,false,false,false
POR416,2023-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
POR408,2023-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
POR010,2023-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
POR036,2023-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
U0141,2023-12-08,Imaculada Conceição,true,true,Inverno,false,false,false,false
POR454,2023-12-08,Imaculada Conceição,true,true,Inverno,false,false,false,false
POR430,2023-12-25,Natal,true,false,Inverno,true,false,false,false
POR052,2024-02-13,Carnaval,false,true,Inverno,false,false,false,false
POR430,2024-02-13,Carnaval,false,true,Inverno,false,false,false,false
POR013,2024-02-13,Carnaval,false,true,Inverno,false,false,false,false
POR414,2024-02-13,Carnaval,false,true,Inverno,false,false,false,false
POR437,2024-02-13,Carnaval,false,true,Inverno,false,false,false,false
POR031,2024-02-13,Carnaval,false,true,Inverno,false,false,false,false
POR028,2024-03-29,Sexta-Feira Santa,false,true,Primavera,false,false,false,false
POR012,2024-03-29,Sexta-Feira Santa,false,true,Primavera,false,false,false,false
POR436,2024-03-29,Sexta-Feira Santa,false,true,Primavera,false,false,false,false
POR434,2024-03-31,Páscoa,false,true,Primavera,false,true,false,false
POR054,2024-03-31,Páscoa,false,true,Primavera,false,true,false,false
POR034,2024-03-31,Páscoa,false,true,Primavera,false,true,false,false
POR402,2024-03-31,Páscoa,false,true,Primavera,false,true,false,false
POR408,2024-03-31,Páscoa,false,true,Primavera,false,true,false,false
POR058,2024-03-31,Páscoa,false,true,Primavera,false,true,false,false
U0141,2024-03-31,Pascoa,false,true,Primavera,false,true,false,false
POR432,2020-01-01,Ano Novo,true,true,Inverno,false,false,true,false
POR419,2020-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR429,2020-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR010,2020-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR434,2020-09-15,Dia de Bocage (municipal),true,true,Outono,false,false,false,false
POR034,2020-10-05,Implantação da República,true,true,Outono,false,false,false,false
POR416,2020-11-19,Feriado Municipal de Odivelas,true,true,Outono,false,false,false,false
POR035,2020-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
POR057,2020-12-25,Natal,true,true,Inverno,true,false,false,false
POR034,2020-12-25,Natal,true,true,Inverno,true,false,false,false
POR410,2021-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
U0143,2021-04-07,Feriado aberto,true,true,Primavera,false,false,false,false
POR435,2021-12-25,Natal,true,true,Inverno,true,false,false,false
POR029,2022-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR039,2022-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
U0143,2022-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
U0141,2022-05-01,Dia do Trabalhador,true,true,Primavera,false,false,false,true
POR438,2022-06-13,Feriado Municipal de Lisboa,true,true,Verão,false,false,false,false
POR427,2022-12-25,Natal,true,true,Inverno,true,false,false,false
POR052,2022-12-25,Natal,true,true,Inverno,true,false,false,false
POR057,2022-12-25,Natal,true,true,Inverno,true,false,false,false
POR423,2023-01-01,Ano Novo,true,true,Inverno,false,false,true,false
POR058,2023-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR025,2023-01-01,passagem de ano,true,true,Inverno,false,false,false,false
POR413,2023-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR039,2023-06-24,Feriado Municipal,true,true,Verão,false,false,false,false
POR031,2023-08-15,Assunção de Maria,true,true,Verão,false,false,false,false
POR406,2023-12-25,Natal,true,true,Inverno,true,false,false,false
POR402,2023-12-25,Natal,true,true,Inverno,true,false,false,false
POR053,2023-12-25,Natal,true,true,Inverno,true,false,false,false
POR034,2024-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR033,2024-01-01,Dia de Ano Novo,true,false,Inverno,false,false,true,false
POR063,2024-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR407,2024-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR438,2024-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR039,2024-06-24,Feriado Municipal,true,true,Verão,false,false,false,false
POR038,2024-12-25,Natal,true,true,Inverno,true,false,false,false
POR446,2024-12-25,Natal,true,true,Inverno,true,false,false,false
POR021,2021-10-05,Implantação da República,false,true,Outono,false,false,false,false
POR434,2021-12-01,Restauração da Independência,false,true,Inverno,false,false,false,false
POR010,2022-01-01,Dia de Ano Novo,false,false,Inverno,false,false,true,false
POR030,2022-01-01,Dia de Ano Novo,false,false,Inverno,false,false,true,false
POR009,2022-03-01,Carnaval,false,true,Primavera,false,false,false,false
POR423,2022-03-01,Carnaval,false,true,Primavera,false,false,false,false
POR026,2022-03-01,Carnaval,false,true,Primavera,false,false,false,false
POR417,2022-04-15,Sexta-feira Santa,false,true,Primavera,false,false,false,false
POR009,2022-04-15,Sexta-feira Santa,false,true,Primavera,false,false,false,false
POR054,2022-04-15,Sexta-feira Santa,false,true,Primavera,false,false,false,false
POR432,2022-04-17,Páscoa,false,true,Primavera,false,true,false,false
POR017,2022-04-17,Páscoa,false,true,Primavera,false,true,false,false
POR009,2022-06-10,Dia de Portugal,false,true,Verão,false,false,false,false
POR417,2022-06-10,Dia de Portugal,false,true,Verão,false,false,false,false
POR036,2022-06-10,Dia de Portugal,false,true,Verão,false,false,false,false
POR406,2022-06-13,Feriado Municipal de Lisboa,true,true,Verão,false,false,false,false
POR405,2022-06-24,Feriado Municipal,false,true,Verão,false,false,false,false
POR417,2022-10-05,Implantação da República,false,true,Outono,false,false,false,false
POR016,2022-10-05,Implantação da República,false,true,Outono,false,false,false,false
POR030,2022-12-08,Imaculada Conceição,false,true,Inverno,false,false,false,false
POR009,2022-12-08,Imaculada Conceição,false,true,Inverno,false,false,false,false
POR019,2022-12-25,Dia de natal,false,false,Inverno,true,false,false,false
POR406,2023-02-21,Carnaval,false,true,Inverno,false,false,false,false
POR054,2023-02-21,Carnaval,false,true,Inverno,false,false,false,false
POR411,2023-04-07,Sexta-Feira Santa,false,true,Primavera,false,false,false,false
POR432,2023-04-07,Sexta-Feira Santa,false,true,Primavera,false,false,false,false
POR053,2023-04-09,Páscoa,false,true,Primavera,false,true,false,false
POR023,2023-04-09,Páscoa,false,true,Primavera,false,true,false,false
POR012,2023-04-09,Páscoa,false,true,Primavera,false,true,false,false
POR433,2023-04-09,Páscoa,false,true,Primavera,false,true,false,false
POR437,2023-04-09,Páscoa,false,true,Primavera,false,true,false,false
POR057,2023-04-25,Dia da Liberdade,true,true,Primavera,false,false,false,false
POR033,2023-04-25,Dia da Liberdade,true,true,Primavera,false,false,false,false
POR437,2023-04-25,Dia da Liberdade,true,true,Primavera,false,false,false,false
POR419,2023-05-01,Dia do Trabalhador,true,true,Primavera,false,false,false,true
POR421,2023-05-01,Dia do Trabalhador,true,true,Primavera,false,false,false,true
POR408,2023-05-01,Dia do Trabalhador,true,true,Primavera,false,false,false,true
POR008,2023-05-01,Dia do Trabalhador,true,true,Primavera,false,false,false,true
POR446,2023-05-01,Dia do Trabalhador,true,true,Primavera,false,false,false,true
U0141,2023-05-18,Feriado Municipa Vila Franca de Xira,false,true,Primavera,false,false,false,false
POR402,2023-06-08,Corpo de Deus,true,true,Verão,false,false,false,false
POR435,2023-06-08,Corpo de Deus,true,true,Verão,false,false,false,false
POR018,2023-06-08,Corpo de Deus,true,true,Verão,false,false,false,false
POR023,2023-06-08,Corpo de Deus,true,true,Verão,false,false,false,false
POR012,2023-06-08,Corpo de Deus,true,true,Verão,false,false,false,false
POR033,2023-06-10,Dia de Portugal,true,true,Verão,false,false,false,false
POR421,2023-06-10,Dia de Portugal,true,true,Verão,false,false,false,false
POR430,2023-06-10,Dia de Portugal,true,true,Verão,false,false,false,false
POR408,2023-06-10,Dia de Portugal,true,true,Verão,false,false,false,false
POR446,2023-06-10,Dia de Portugal,true,true,Verão,false,false,false,false
POR425,2023-06-24,Feriado Municipal de Almada,true,true,Verão,false,false,false,false
POR405,2023-06-24,Feriado Municipal de Almada,true,true,Verão,false,false,false,false
POR429,2023-08-15,Assunção de Maria,true,true,Verão,false,false,false,false
POR432,2023-08-15,Assunção de Maria,true,true,Verão,false,false,false,false
POR021,2023-08-15,Assunção de Maria,true,true,Verão,false,false,false,false
POR008,2023-08-15,Assunção de Maria,true,true,Verão,false,false,false,false
POR016,2023-08-15,Assunção de Maria,true,true,Verão,false,false,false,false
POR435,2023-10-05,Implantação da República,true,true,Outono,false,false,false,false
POR423,2023-10-05,Implantação da República,true,true,Outono,false,false,false,false
POR035,2023-10-05,Implantação da República,true,true,Outono,false,false,false,false
POR437,2023-10-05,Implantação da República,true,true,Outono,false,false,false,false
POR058,2023-11-01,Dia de Todos os Santos,true,true,Outono,false,false,false,false
POR063,2023-11-01,Dia de Todos os Santos,true,true,Outono,false,false,false,false
POR422,2023-11-01,Dia de Todos os Santos,true,true,Outono,false,false,false,false
POR027,2023-11-01,Dia de Todos os Santos,true,true,Outono,false,false,false,false
POR410,2023-11-01,Dia de Todos os Santos,true,true,Outono,false,false,false,false
POR420,2023-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
POR423,2023-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
POR032,2023-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
POR437,2023-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
POR446,2023-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
POR053,2023-12-08,Imaculada Conceição,true,true,Inverno,false,false,false,false
POR430,2023-12-08,Imaculada Conceição,true,true,Inverno,false,false,false,false
POR031,2023-12-08,Imaculada Conceição,true,true,Inverno,false,false,false,false
POR433,2023-12-08,Imaculada Conceição,true,true,Inverno,false,false,false,false
POR421,2023-12-25,Natal,true,false,Inverno,true,false,false,false
POR411,2023-12-25,Natal,true,false,Inverno,true,false,false,false
POR434,2023-12-25,Natal,true,false,Inverno,true,false,false,false
POR054,2023-12-25,Natal,true,false,Inverno,true,false,false,false
POR031,2023-12-25,Natal,true,false,Inverno,true,false,false,false
U0142,2023-12-25,Natal,true,false,Inverno,true,false,false,false
U0143,2023-12-25,Natal,true,false,Inverno,true,false,false,false
POR065,2024-02-13,Carnaval,false,true,Inverno,false,false,false,false
POR433,2024-02-13,Carnaval,false,true,Inverno,false,false,false,false
POR403,2024-02-13,Carnaval,false,true,Inverno,false,false,false,false
POR057,2024-02-13,Carnaval,false,true,Inverno,false,false,false,false
POR027,2024-02-13,Carnaval,false,true,Inverno,false,false,false,false
POR412,2024-02-13,Carnaval,false,true,Inverno,false,false,false,false
POR030,2024-02-13,Carnaval,false,true,Inverno,false,false,false,false
U0141,2024-03-29,Sexta-feira Santa,false,true,Primavera,false,false,false,false
POR034,2024-03-29,Sexta-Feira Santa,false,true,Primavera,false,false,false,false
POR017,2024-03-31,Páscoa,false,true,Primavera,false,true,false,false
POR035,2024-03-31,Páscoa,false,true,Primavera,false,true,false,false
POR406,2024-03-31,Páscoa,false,true,Primavera,false,true,false,false
POR419,2024-03-31,Páscoa,false,true,Primavera,false,true,false,false
POR038,2024-03-31,Páscoa,false,true,Primavera,false,true,false,false
POR052,2020-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR033,2020-01-01,Dia de Ano Novo,true,false,Inverno,false,false,true,false
POR436,2020-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR035,2020-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR445,2020-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
U0141,2020-06-10,Dia de Portugal,true,true,Verão,false,false,false,false
POR039,2020-08-15,Assunção de Maria,true,true,Verão,false,false,false,false
POR010,2020-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
POR028,2020-12-25,Natal,true,true,Inverno,true,false,false,false
POR036,2020-12-25,Natal,true,true,Inverno,true,false,false,false
POR065,2020-12-25,Natal,true,true,Inverno,true,false,false,false
POR423,2021-01-01,Ano Novo,true,true,Inverno,false,false,true,false
POR435,2021-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR430,2021-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR026,2021-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR407,2021-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR010,2021-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
POR021,2021-12-25,Dia de natal,true,false,Inverno,true,false,false,false
POR034,2022-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR038,2022-12-25,Natal,true,true,Inverno,true,false,false,false
POR436,2023-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
U0141,2023-05-01,Dia do Trabalhador,true,true,Primavera,false,false,false,true
POR019,2023-12-25,Natal,true,true,Inverno,true,false,false,false
POR030,2023-12-25,Natal,true,true,Inverno,true,false,false,false
POR065,2023-12-25,Natal,true,true,Inverno,true,false,false,false
POR053,2024-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR023,2024-01-01,Dia de Ano Novo,true,false,Inverno,false,false,true,false
POR029,2024-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR054,2024-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR035,2024-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR454,2024-01-01,Dia de Ano Novo,true,true,Inverno,false,false,true,false
POR039,2024-04-25,Dia da Liberdade,true,true,Primavera,false,false,false,false
POR436,2024-06-13,Feriado Municipal de Lisboa,true,true,Verão,false,false,false,false
POR433,2024-06-13,Feriado Municipal de Lisboa,true,true,Verão,false,false,false,false
POR063,2024-09-08,Feriado Municipal de Lagoa,true,true,Outono,false,false,false,false
POR010,2024-12-01,Restauração da Independência,true,true,Inverno,false,false,false,false
POR021,2024-12-25,Dia de natal,true,false,Inverno,true,false,false,false
POR065,2024-12-25,Natal,true,true,Inverno,true,false,false,false
POR019,2021-08-15,Assunção de Maria,false,true,Verão,false,false,false,false
POR012,2021-12-08,Imaculada Conceição,false,true,Inverno,false,false,false,false
POR417,2021-12-25,Dia de natal,false,false,Inverno,true,false,false,false
POR028,2022-01-01,Dia de Ano Novo,false,false,Inverno,false,false,true,false
POR035,2022-03-01,Carnaval,false,true,Primavera,false,false,false,false
POR021,2022-03-01,Carnaval,false,true,Primavera,false,false,false,false
POR028,2022-03-01,Carnaval,false,true,Primavera,false,false,false,false
POR010,2022-03-01,Carnaval,false,true,Primavera,false,false,false,false
POR405,2022-04-15,Sexta -Feira Santa,false,true,Primavera,false,false,false,false
POR010,2022-04-15,Sexta-feira Santa,false,true,Primavera,false,false,false,false
POR034,2022-04-17,Páscoa,false,true,Primavera,false,true,false,false
POR026,2022-04-17,Páscoa,false,true,Primavera,false,true,false,false
POR028,2022-05-01,1º MAIO - FERIADO ABERTO,false,true,Primavera,false,false,false,false
POR012,2022-06-16,Corpo de Deus,false,true,Verão,false,false,false,false
POR405,2022-06-16,Corpo de Deus,false,true,Verão,false,false,false,false
POR036,2022-06-16,Corpo de Deus,false,true,Verão,false,false,false,false
POR026,2022-06-24,Municipal do Porto (24 Jun),false,true,Verão,false,false,false,false
POR062,2022-08-15,Assunção de Maria,false,true,Verão,false,false,false,false
POR027,2022-08-15,Assunção de Maria,false,true,Verão,false,false,false,false
POR434,2022-08-15,Assunção de Maria,false,true,Verão,false,false,false,false
POR425,2022-10-05,Implantação da República,false,true,Outono,false,false,false,false
POR016,2022-12-08,Imaculada Conceição,false,true,Inverno,false,false,false,false
POR034,2022-12-25,Dia de natal,false,true,Inverno,true,false,false,false
POR052,2023-02-21,Carnaval,false,true,Inverno,false,false,false,false
POR430,2023-02-21,Carnaval,false,true,Inverno,false,false,false,false
POR427,2023-02-21,Carnaval,false,true,Inverno,false,false,false,false
