FK_SECAO,FK_LOJA,FK_DATA,ITENS,VALOR,SKUS_MAIS,SKUS_MENOS,VAR_PRECO_MAIS,VAR_PRECO_MENOS
907,S - Graça,2022-09-17,2649,5308.01,387,527,0.1441,0.1211
930,S - Benificiencia,2022-09-17,2617,5120.01,506,293,0.1200,0.1646
1444,S - Cacilhas,2022-09-17,3170,6048.63,437,480,0.1043,0.1747
1167,S - Rua Visconde Santarém,2022-09-17,1602,3236.24,478,504,0.1093,0.1614
199,S - Av. D. João II,2022-09-17,2482,4548.94,456,350,0.1730,0.1302
1443,S - Vila Franca de Xira,2022-09-17,2619,5123.67,293,417,0.1431,0.1332
933,S - Lumiar,2022-09-17,2181,3947.10,495,591,0.1696,0.1714
578,Guimarães,2022-09-17,27687,97271.63,3195,1927,0.1924,0.1147
1112,Torres Vedras,2022-09-17,32643,104552.51,1585,1420,0.1808,0.1476
406,Gaia,2022-09-17,43376,133861.97,7255,5165,0.1880,0.1529
937,S - Campolide,2022-09-17,2849,5529.86,362,498,0.1406,0.1309
938,S - Pascoal de Melo,2022-09-17,3674,7860.32,334,358,0.1338,0.1245
321,Aveiro,2022-09-17,65340,218022.20,4784,6750,0.1547,0.1503
783,Portimão,2022-09-17,37492,116812.10,2277,1772,0.1265,0.1792
425,Gondomar,2022-09-17,56466,168786.41,6615,6808,0.1545,0.1514
82,S - Nuno Alvares Pereira,2022-09-17,3114,5639.05,390,468,0.1661,0.1871
946,S - Pedro Nunes,2022-09-17,1659,2706.81,484,501,0.1595,0.1452
943,S - Algés ,2022-09-17,2812,5494.83,534,327,0.1388,0.1527
871,Faro,2022-09-17,68678,230886.07,8672,9203,0.1684,0.1986
201,S - Bento Gonçalves,2022-09-17,1818,3302.00,443,349,0.1063,0.1438
1442,S - Ajuda,2022-09-17,2720,5313.44,598,503,0.1931,0.1956
906,S - Carnide,2022-09-17,2246,4156.47,470,400,0.1644,0.1790
908,S - Duque Avila,2022-09-17,2510,4720.90,422,386,0.1976,0.1511
1072,Alverca,2022-09-17,62619,235183.32,2096,2356,0.1765,0.1688
932,S - Bobadela,2022-09-17,2249,4463.70,466,392,0.1117,0.1553
261,S - Costa Caparica (Pescadores),2022-09-17,6291,12086.16,622,608,0.1644,0.1121
945,S - Campo de Ourique,2022-09-17,2384,4494.45,313,552,0.1448,0.1084
1581,S - Bento Jesus,2022-09-17,2685,5379.33,397,616,0.1819,0.1009
182,Évora,2022-09-17,26886,82069.15,1009,932,0.1377,0.1390
24,Almada Fórum,2022-09-17,117625,410426.04,8744,7345,0.1215,0.1843
929,S - Amadora,2022-09-17,2052,3661.49,418,512,0.1762,0.1895
936,S - Columbano Bordalo Pinheiro,2022-09-17,2838,5348.77,639,435,0.1195,0.1198
539,Castelo Branco,2022-09-17,37779,123661.74,1109,1373,0.1617,0.1390
464,Maia,2022-09-17,42004,146152.52,4779,6568,0.1662,0.1510
